"seqnames","start","end","width","strand","V4","V5","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENTREZID","SYMBOL","GENENAME"
"14",24213154,24213553,400,"*","*",0.528684424807155,"Promoter (<=1kb)",14,24209615,24213488,3874,2,"ENSG00000254505","ENST00000347519",0,"29082","CHMP4A","charged multivesicular body protein 4A"
"14",23285934,23286333,400,"*","*",0.528226216643539,"Promoter (<=1kb)",14,23272422,23286132,13711,2,"ENSG00000215271","ENST00000357460",0,"57594","HOMEZ","homeobox and leucine zipper encoding"
"3",16264738,16265137,400,"*","*",0.582358485352831,"Promoter (<=1kb)",3,16257061,16264943,7883,2,"ENSG00000154813","ENST00000488423",0,"285381","DPH3","diphthamide biosynthesis 3"
"2",19901341,19901740,400,"*","*",0.56700601347824,"Promoter (<=1kb)",2,19897869,19901641,3773,2,"ENSG00000183891","ENST00000431392",0,"130502","TTC32","tetratricopeptide repeat domain 32"
"8",91070121,91070520,400,"*","*",0.592847484988054,"Promoter (<=1kb)",8,91070196,91087091,16896,1,"ENSG00000155100","ENST00000615618",0,"51633","OTUD6B","OTU deubiquitinase 6B"
"21",33931125,33931528,404,"*","*",0.649931843898575,"Promoter (<=1kb)",21,33931160,33977691,46532,1,"ENSG00000237945","ENST00000427447",0,"100506334","LINC00649","long intergenic non-protein coding RNA 649"
"19",47112938,47113337,400,"*","*",0.576089260261703,"Promoter (<=1kb)",19,47113274,47169853,56580,1,"ENSG00000142230","ENST00000594144",0,"10055","SAE1","SUMO1 activating enzyme subunit 1"
"6",36131039,36131438,400,"*","*",0.503071290631649,"Promoter (<=1kb)",6,36130869,36136515,5647,1,"ENSG00000156711","ENST00000490334",170,"5603","MAPK13","mitogen-activated protein kinase 13"
"20",57392794,57393193,400,"*","*",0.56490660058382,"Promoter (<=1kb)",20,57383719,57393062,9344,2,"ENSG00000218018","ENST00000417346",0,NA,NA,NA
"6",70413415,70413814,400,"*","*",0.693081044790674,"Promoter (<=1kb)",6,70413421,70561032,147612,1,"ENSG00000082269","ENST00000505769",0,"57579","FAM135A","family with sequence similarity 135 member A"
"13",49444268,49444667,400,"*","*",0.50858140136914,"Promoter (<=1kb)",13,49444274,49495003,50730,1,"ENSG00000136169","ENST00000611815",0,"83852","SETDB2","SET domain bifurcated histone lysine methyltransferase 2"
"1",156282587,156282986,400,"*","*",0.466103062508944,"Promoter (<=1kb)",1,156282935,156292443,9509,1,"ENSG00000163472","ENST00000463670",0,"84283","TMEM79","transmembrane protein 79"
"10",119305950,119306349,400,"*","*",0.479548695568384,"Intron (ENST00000392870/ENSG00000198873, intron 1 of 15)",10,119330233,119335957,5725,2,"ENSG00000236426","ENST00000625697",29608,NA,NA,NA
"11",34916146,34916545,400,"*","*",0.546850532644595,"Promoter (<=1kb)",11,34882295,34916379,34085,2,"ENSG00000149089","ENST00000395787",0,"51074","APIP","APAF1 interacting protein"
"16",30185449,30185848,400,"*","*",0.464275542738989,"Promoter (<=1kb)",16,30185932,30189075,3144,1,"ENSG00000102879","ENST00000567034",-84,"11151","CORO1A","coronin 1A"
"16",84116615,84117229,615,"*","*",0.483445946618288,"Promoter (<=1kb)",16,84053763,84116942,63180,2,"ENSG00000140943","ENST00000343411",0,"8720","MBTPS1","membrane bound transcription factor peptidase, site 1"
"10",68721083,68721482,400,"*","*",0.50479393915102,"Promoter (<=1kb)",10,68721144,68792375,71232,1,"ENSG00000060339","ENST00000630771",0,"55749","CCAR1","cell division cycle and apoptosis regulator 1"
"8",38231553,38231952,400,"*","*",0.50944202098112,"Promoter (<=1kb)",8,38231585,38262836,31252,1,"ENSG00000085788","ENST00000397166",0,"23259","DDHD2","DDHD domain containing 2"
"9",104094049,104094448,400,"*","*",0.508669608771052,"Promoter (<=1kb)",9,104094260,104141409,47150,1,"ENSG00000136824","ENST00000286398",0,"10592","SMC2","structural maintenance of chromosomes 2"
"5",80654214,80654613,400,"*","*",0.605083931488719,"Promoter (<=1kb)",5,80628124,80654552,26429,2,"ENSG00000228716","ENST00000511032",0,"1719","DHFR","dihydrofolate reductase"
"17",782094,782500,407,"*","*",0.475047605725857,"Promoter (<=1kb)",17,759330,782279,22950,2,"ENSG00000167699","ENST00000301328",0,"51031","GLOD4","glyoxalase domain containing 4"
"8",23224752,23225151,400,"*","*",0.601087174868243,"Promoter (<=1kb)",8,23190452,23225102,34651,2,"ENSG00000104689","ENST00000221132",0,"8797","TNFRSF10A","TNF receptor superfamily member 10a"
"4",139015483,139015882,400,"*","*",0.529148096227437,"Promoter (<=1kb)",4,139015781,139045939,30159,1,"ENSG00000151014","ENST00000280614",0,"25819","NOCT","nocturnin"
"15",84716137,84716536,400,"*","*",0.483938754534198,"Promoter (<=1kb)",15,84669538,84716460,46923,2,"ENSG00000140612","ENST00000559729",0,"23478","SEC11A","SEC11 homolog A, signal peptidase complex subunit"
"1",51518417,51518816,400,"*","*",0.558205170537461,"Promoter (<=1kb)",1,51518383,51561629,43247,1,"ENSG00000227070","ENST00000426017",34,NA,NA,NA
"1",151839601,151840000,400,"*","*",0.479917702938109,"Promoter (<=1kb)",1,151837819,151840557,2739,2,"ENSG00000225556","ENST00000454109",557,"100191040","C2CD4D","C2 calcium dependent domain containing 4D"
"1",212858277,212858676,400,"*","*",0.518004411378912,"Promoter (<=1kb)",1,212858275,212899363,41089,1,"ENSG00000162769","ENST00000366971",2,"28982","FLVCR1","FLVCR heme transporter 1"
"5",72308152,72308551,400,"*","*",0.542127624118302,"Promoter (<=1kb)",5,72238025,72307962,69938,2,"ENSG00000113048","ENST00000519143",-190,"23107","MRPS27","mitochondrial ribosomal protein S27"
"4",122152485,122152884,400,"*","*",0.481037503152895,"Promoter (<=1kb)",4,122152565,122240652,88088,1,"ENSG00000138688","ENST00000687476",0,"84162","KIAA1109","KIAA1109"
"4",55395577,55395976,400,"*","*",0.516051981884801,"Promoter (<=1kb)",4,55395957,55425657,29701,1,"ENSG00000134851","ENST00000506198",0,"55858","TMEM165","transmembrane protein 165"
"1",153566525,153566924,400,"*","*",0.393448976477527,"Promoter (<=1kb)",1,153561343,153566755,5413,2,"ENSG00000196754","ENST00000368709",0,"6273","S100A2","S100 calcium binding protein A2"
